타석	PA	plate appearnace
타수	AB	at bat 
득점	R	Rund scored
안타	H	Hit
홈런	HR	Home Run
총루타	TB	Total Bases
타점	RBI	Runs batted in
도루	SB	Stolen Bases
도실	CS	Caught stealing
볼넷	BB	Walks
몸맞는공	HPB	Hit by pitch
고의4구	IBB	Intentional walks
삼진	K	Strikeouts
병살	DP	Double play
희생타	SH	Sacrifice Hits
희비	SF	Sacrifice flies
타율	AVG	Batting Average
출루율	OBP	On-base percentage
장타율	SLG	Slugging Percentage
OPS	OPS	On base plus slugging
투구수	NP	Number of Pitches Thrown
완투	CG	Completed Games
완봉	SHO	Shutcouts
투구이닝	IP	Innings Pitched
선발	GS	Game started
자책점	ER	Earned Runs
보크	BK	Balks
폭투	WP	Wild Pitches
