Year,Initial,Team,Position,Game,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,K,DP,SH,SF
2018,KJW,DS,LF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7
2018,BBH,KU,1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3
2018,YUJ,DS,C,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6
2018,JJU,LD,LF,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2
2018,Rohas,KT,CF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2
2018,SAS,LD,RF,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1
2018,Ruff,SS,1B,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8
2018,HCH,KT,2B,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9
2018,CHU,KT,LF,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8
2018,KHS,LG,LF,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10
2018,Romac,SK,1B,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6
2018,CUS,LG,RF,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5
2018,CJH,DS,DH,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10
2018,Burnadina,KT,CF,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1
2018,NSB,NC,RF,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5
2018,LJW,SK,SC,130,471,407,63,134,24,0,17,209,57,0,0,43,12,0,65,13,4,5
2018,KJU,SS,RF,116,529,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2
2018,L오,LD,DH,144,604,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4
2018,KJH,DS,SS,131,467,402,78,125,20,0,16,193,75,6,2,52,4,1,77,12,3,6
2018,LJH,KU,RF,109,520,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8
2018,Hoing,HH,RF,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5
2018,YKN,LG,LC,132,465,425,53,126,33,0,19,216,66,0,0,28,9,1,80,21,2,1
2018,KHSung,KU,SS,129,576,511,95,147,27,4,20,242,84,8,2,54,5,2,81,16,1,5
2018,HKM,DS,3B,133,577,516,85,167,30,5,10,237,79,20,4,32,16,0,52,15,5,8
2018,HDM,SK,RF,136,562,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,0,8
2018,CJ,SK,3B,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,0,2
2018,YHJ,KT,RF,121,480,428,59,145,21,1,20,228,83,1,1,47,2,3,53,9,2,1
2018,BGW,DS,CF,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,1,2
2018,HJK,KT,3B,142,588,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,2,3
2018,LWS,SS,3B,128,543,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5
