Year,Team,AVG,OBP,SLG,OPS,ERA,FIP,WHIP,,,,,,,,,,,,,,,,,,,,,,
2018,DS,0.309,0.376,0.486,0.862,5,5.12,1.46,,,,,,,,,,,,,,,,,,,,,,
2018,KIA,0.295,0.367,0.457,0.824,5.43,5.23,1.54,,,,,,,,,,,,,,,,,,,,,,
2018,LD,0.289,0.356,0.471,0.827,5.41,5.1,1.53,,,,,,,,,,,,,,,,,,,,,,
2018,SK,0.281,0.356,0.473,0.829,4.69,5.13,1.4,,,,,,,,,,,,,,,,,,,,,,
2018,KU,0.288,0.355,0.448,0.802,5.08,5.22,1.45,,,,,,,,,,,,,,,,,,,,,,
2018,LG,0.293,0.353,0.445,0.797,5.32,5.05,1.49,,,,,,,,,,,,,,,,,,,,,,
2018,SS,0.288,0.355,0.432,0.787,5.22,5.23,1.49,,,,,,,,,,,,,,,,,,,,,,
2018,KT,0.275,0.34,0.456,0.796,5.37,5.31,1.56,,,,,,,,,,,,,,,,,,,,,,
2018,HH,0.275,0.341,0.422,0.763,4.95,5.04,1.47,,,,,,,,,,,,,,,,,,,,,,
2018,NC,0.261,0.329,0.404,0.733,5.5,5.54,1.57,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,WAR*,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,김재환,18두LF,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,0.334,0.405,0.657,1.062,0.438,168.8,6.94,5.8
2,박병호,18넥1B,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.478,190.9,6.62,6.44
3,양의지,18두C,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.013,0.431,160.5,6.42,3.91
